2162,71,2018/07/16 01:00,5,b,150,0
24502,12,2018/09/25 00:00,4,a,200,0
12798,16,2018/09/21 05:00,1750,b,157.5,0
16459,96,2018/08/01 23:00,500,b,75,0
11900,30,2018/07/12 16:00,4,a,480,1
10804,148,2018/09/30 06:00,7,c,56,0
17075,126,2018/07/06 14:00,8,b,180,1
10918,175,2018/08/13 19:00,6,a,300,0
11615,20,2018/07/25 17:00,3,c,180,0
17031,114,2018/09/17 09:00,6,b,225,0
14632,13,2018/09/18 10:00,7,c,168,0
203,111,2018/07/28 19:00,1250,c,60,0
16365,107,2018/09/05 11:00,3,a,120,0
17426,119,2018/09/05 00:00,1,a,60,0
19918,128,2018/08/06 08:00,1750,b,105,0
18349,80,2018/07/29 05:00,2,c,32,0
6008,48,2018/08/28 18:00,2,b,150,0
6979,119,2018/08/29 12:00,6,a,360,0
7388,147,2018/09/03 21:00,1500,a,120,0
17024,54,2018/09/02 19:00,5,c,200,0
14898,150,2018/09/18 20:00,8,a,320,0
24097,56,2018/07/29 22:00,8,b,600,0
9726,34,2018/09/22 08:00,2,a,160,0
365,13,2018/07/22 10:00,8,c,192,0
22151,16,2018/08/17 05:00,1250,c,60,0
14157,52,2018/09/06 01:00,3,c,216,0
24582,177,2018/07/26 14:00,3,b,45,0
4897,107,2018/08/04 08:00,5,b,150,0
21351,3,2018/08/13 11:00,5,b,300,0
2895,176,2018/07/07 10:00,500,c,32,1
13781,40,2018/09/08 16:00,3,b,157.5,0
10480,138,2018/09/01 20:00,7,c,168,0
10510,49,2018/08/17 19:00,2,c,48,0
14305,46,2018/09/11 01:00,2,b,60,0
16666,97,2018/08/24 16:00,2000,c,64,0
12371,41,2018/07/09 08:00,5,c,80,1
13216,54,2018/07/28 12:00,5,b,375,0
22563,10,2018/09/21 01:00,750,c,120,0
17954,114,2018/09/17 01:00,3,a,150,0
19349,129,2018/09/06 11:00,8,c,128,0
6670,147,2018/09/03 22:00,1750,a,140,0
19066,74,2018/07/21 13:00,7,a,280,0
3687,84,2018/08/02 11:00,8,a,240,0
23232,38,2018/09/28 11:00,5,b,225,0
15331,2,2018/09/08 16:00,5,c,320,0
4384,98,2018/09/25 15:00,500,b,30,0
2846,77,2018/10/01 04:00,8,c,128,0
1448,96,2018/07/25 04:00,500,a,100,0
10724,65,2018/08/28 18:00,1750,a,140,0
17898,103,2018/07/17 01:00,8,c,96,0
6856,28,2018/08/13 16:00,8,a,960,0
5482,162,2018/07/15 12:00,2,b,45,1
13603,141,2018/08/21 22:00,2000,c,160,0
4917,101,2018/09/21 01:00,6,b,135,0
2213,13,2018/07/18 10:00,8,c,192,0
7751,101,2018/08/23 17:00,6,b,135,0
5976,179,2018/08/06 05:00,7,a,350,0
15063,79,2018/09/27 15:00,6,c,48,0
9260,64,2018/07/22 00:00,1,c,24,0
1573,69,2018/09/04 05:00,4,c,80,0
2239,94,2018/08/03 15:00,100,c,4,0
9977,97,2018/07/15 02:00,500,a,40,1
806,152,2018/09/11 12:00,1000,a,480,0
10880,148,2018/08/08 05:00,3,b,45,0
16817,51,2018/08/25 07:00,8,c,320,0
7240,26,2018/07/14 16:00,1,a,280,1
13308,159,2018/09/26 03:00,2,a,50,0
22846,147,2018/09/03 16:00,1750,c,56,0
5418,118,2018/08/17 05:00,1,b,30,0
6562,141,2018/08/30 02:00,500,b,75,0
6020,28,2018/09/12 14:00,3,a,360,0
21174,117,2018/09/19 03:00,7,b,210,0
4901,120,2018/08/02 14:00,7,c,98,0
16401,34,2018/09/11 18:00,2,a,160,0
17802,12,2018/09/15 18:00,7,c,140,0
13428,2,2018/07/23 18:00,2,b,240,0
23568,169,2018/08/25 06:00,5,a,200,0
24302,78,2018/08/29 09:00,5,a,500,0
8432,131,2018/09/17 18:00,5,b,187.5,0
136,148,2018/08/24 18:00,7,b,105,0
6152,24,2018/09/20 14:00,7,a,840,0
10272,42,2018/10/02 19:00,8,a,560,0
13910,76,2018/09/20 01:00,7,b,210,0
1752,96,2018/07/30 03:00,300,b,45,0
20219,156,2018/07/10 15:00,4,c,48,1
19283,115,2018/09/03 13:00,5,b,150,0
14163,43,2018/09/22 10:00,8,c,256,0
19499,76,2018/07/28 00:00,3,c,48,0
16894,14,2018/07/18 10:00,5,b,112.5,0
9270,30,2018/07/23 13:00,1,c,48,0
6319,173,2018/09/03 19:00,750,a,90,0
6942,64,2018/07/10 22:00,7,c,168,1
19326,49,2018/09/03 06:00,6,c,144,0
7186,72,2018/07/25 08:00,4,a,180,0
6874,125,2018/09/30 03:00,7,b,157.5,0
16775,164,2018/07/09 18:00,5,c,50,1
9779,10,2018/07/06 16:00,1750,c,280,1
11925,88,2018/07/14 07:00,1,a,30,1
12766,142,2018/09/22 16:00,5,b,150,0
12943,146,2018/07/20 16:00,4,a,240,0
23188,115,2018/09/11 08:00,2,b,60,0
24858,113,2018/09/12 07:00,3,a,60,0
7723,139,2018/08/25 17:00,1,a,4,0
23990,130,2018/09/21 02:00,8,a,320,0
15335,27,2018/07/22 07:00,6,c,192,0
15331,153,2018/09/27 03:00,8,a,480,0
13181,25,2018/09/08 04:00,6,b,630,0
1239,133,2018/08/16 09:00,5,a,300,0
7387,45,2018/09/15 08:00,3,b,135,0
12763,14,2018/08/06 10:00,8,c,96,0
1928,66,2018/09/23 01:00,4,a,160,0
22925,140,2018/09/27 16:00,1000,c,64,0
